246,284,99,128,1
246,284,129,187,1
246,284,190,225,1
246,284,227,237,1
246,284,237,273,1
246,284,276,357,1
246,284,359,378,1
246,284,380,407,1
246,284,408,439,1
246,284,441,538,1
246,284,539,566,1
246,284,567,647,1
246,284,650,681,1
246,284,682,709,1
246,284,710,754,1
246,284,755,765,1
246,284,766,807,1
246,284,809,867,1
246,284,869,916,1
294,332,98,178,1
294,332,180,207,1
294,332,208,252,1
294,332,253,263,1
294,332,264,305,1
294,332,306,374,1
294,332,375,408,1
294,332,408,471,1
294,332,472,499,1
294,332,499,572,1
294,332,574,621,1
294,332,623,652,1
294,332,654,682,1
294,332,685,727,1
294,332,728,793,1
294,332,795,881,1
294,332,881,921,1
342,380,98,191,1
342,380,194,287,0
342,380,287,297,0
342,380,299,325,0
342,380,327,381,0
342,380,382,409,0
342,380,410,455,0
342,380,458,539,0
342,380,539,595,0
342,380,597,692,0
342,380,695,723,0
342,380,725,763,0
342,380,765,784,0
342,380,786,814,0
342,380,817,872,0
342,380,874,902,0
390,428,99,190,0
390,428,193,268,0
390,428,271,342,0
390,428,344,379,0
390,428,381,480,0
390,428,483,515,2
390,428,516,543,2
390,428,544,604,2
390,428,606,682,2
390,428,683,707,2
390,428,708,787,2
390,428,789,805,2
390,428,804,810,2
390,428,814,855,2
390,428,856,909,2
438,476,98,131,2
438,476,131,167,2
438,476,169,200,2
438,476,200,262,2
438,476,264,319,2
438,476,320,361,2
438,476,363,408,2
438,476,410,457,2
438,476,460,491,2
438,476,493,603,2
438,476,602,612,2
438,476,614,646,3
438,476,646,674,3
438,476,674,727,3
438,476,727,798,3
438,476,799,828,3
438,476,831,885,3
438,476,886,913,3
486,524,98,131,3
486,524,131,207,3
486,524,208,237,3
486,524,239,304,3
486,524,306,327,3
486,524,328,411,3
486,524,411,461,3
